latitude,longitude
-6.023620076738411,-35.19950093544842
-6.023610738184045,-35.19949025258793
-6.023601146135826,-35.19947941320342
-6.023591608659686,-35.199468707114654
-6.023582098409144,-35.19945797489727
-6.023572485518426,-35.199447059724264
-6.023562812656169,-35.199436117579694
-6.023553066516256,-35.199425162387385
-6.023543622266691,-35.19941452397763
-6.023534186167406,-35.199403862109776
-6.023524631801449,-35.19939311865897
-6.02351493999326,-35.199382288612426
-6.023505342049191,-35.1993715527744
-6.02349562880247,-35.199360633862256
-6.023486328402942,-35.1993501978988
-6.0234766609202675,-35.19933943119891
-6.023466927396692,-35.19932866159147
-6.0234572403578746,-35.19931795358684
-6.023447789356772,-35.199307521596275
-6.023438220190394,-35.199297023079176
-6.023428707425522,-35.19928665369612
-6.023419047493375,-35.19927613063788
-6.023409205518,-35.199265374351576
-6.023399405159954,-35.19925465674389
-6.02338976936074,-35.19924415227043
-6.0233801108751255,-35.199233664205266
-6.0233702556364666,-35.19922297719606
-6.023360539835078,-35.199212471417795
-6.023350513126138,-35.19920170341624
-6.023340691841779,-35.199191248402826
-6.02333090095859,-35.19918088639165
-6.023321053259504,-35.1991704849989
-6.023311247946529,-35.199160138886725
-6.02330140050903,-35.19914979172308
-6.023291465684588,-35.199139395374196
-6.02328167205035,-35.199129142078355
-6.023271550425273,-35.199118511648734
-6.023261522175395,-35.199108016076856
-6.023251411403806,-35.19909754805066
-6.023241422007865,-35.19908724945852
-6.023231514109262,-35.1990769883291
-6.023221695150934,-35.19906684028302
-6.023211718029283,-35.199056703948884
-6.023201325922644,-35.19904646411001
-6.02319175111146,-35.19903792837115
-6.023184947002917,-35.19902729756939
-6.023174478926814,-35.199017806313215
-6.0231635574858835,-35.19901068780498
-6.023151551701953,-35.19900116463578
-6.02314107950473,-35.19899153827565
-6.02313031568329,-35.198982025077186
-6.023118590245566,-35.19897295636213
-6.02310693685597,-35.19896453133909
-6.023095245174942,-35.19895564953026
-6.0230836398054235,-35.198946580413484
-6.0230719771397965,-35.19893801662757
-6.023059714187674,-35.19892971209809
-6.023047514250564,-35.198921271435324
-6.023036031526458,-35.19891277113786
-6.023023337726861,-35.198904883502806
-6.023010033116951,-35.19889791219055
-6.0229964350545195,-35.19889090397562
-6.022982714786069,-35.19888368743417
-6.02296922014575,-35.19887707852235
-6.02295470873267,-35.198870827948994
-6.022940425492377,-35.19886510948561
-6.022926189492189,-35.19885952908527
-6.0229115886796105,-35.19885407130308
-6.022896616899648,-35.19884892360165
-6.022881546808363,-35.198844198237765
-6.022866348582457,-35.198839598795
-6.022851535235502,-35.19883523188707
-6.022836207157387,-35.198830973122384
-6.022820996730725,-35.19882701630149
-6.022805461970326,-35.19882316431063
-6.022790162887452,-35.198819460818555
-6.022774702935814,-35.1988158772268
-6.022759374126972,-35.198812516521876
-6.022744256343296,-35.19880935584238
-6.022728657012077,-35.19880614330509
-6.022713208423883,-35.19880307026108
-6.022697967025945,-35.19880016319132
-6.022682736201731,-35.19879723255588
-6.022667568479118,-35.198794210935894
-6.022652167166229,-35.19879117979397
-6.022637015500269,-35.19878840424659
-6.022621584670782,-35.19878568035871
-6.02260612071849,-35.19878284468006
-6.022590617063218,-35.198779877892
-6.022575350545601,-35.19877702795525
-6.02256006716988,-35.19877435610413
-6.02254442261904,-35.198771701997345
-6.022528772363179,-35.19876889827799
-6.022513137698962,-35.19876597969706
-6.022497738742014,-35.1987631948905
-6.022481572115897,-35.19876042700418
-6.0224657815159,-35.19875771925112
-6.022450007611736,-35.19875483108111
-6.022434294503798,-35.19875183837257
-6.022418752682848,-35.19874896235408
-6.022403311972687,-35.19874624409818
-6.022387841961743,-35.19874348376072
-6.02237261198806,-35.198740586395324
-6.022356986639864,-35.1987375149443
-6.022341527476295,-35.19873458916996
